train_loss,epoch,step,val_loss,test_loss
0.5325925350189209,0,49,,
0.45416128635406494,0,99,,
0.2900221049785614,0,149,,
0.2006348818540573,0,199,,
0.4328272044658661,0,249,,
,0,292,0.37296396493911743,
0.5838526487350464,1,299,,
0.47318729758262634,1,349,,
0.3939489722251892,1,399,,
0.27920594811439514,1,449,,
0.03995441272854805,1,499,,
0.3160765767097473,1,549,,
,1,585,0.31981000304222107,
0.3598802983760834,2,599,,
0.08299704641103745,2,649,,
0.5275186896324158,2,699,,
0.21769937872886658,2,749,,
0.3286660313606262,2,799,,
0.5485137701034546,2,849,,
,2,878,0.2946974039077759,
0.49133768677711487,3,899,,
0.34180307388305664,3,949,,
0.45708131790161133,3,999,,
0.3496934175491333,3,1049,,
0.3213367760181427,3,1099,,
0.2375243604183197,3,1149,,
,3,1171,0.2828788161277771,
0.34897762537002563,4,1199,,
0.16473139822483063,4,1249,,
0.5065823793411255,4,1299,,
0.2108299732208252,4,1349,,
0.33424609899520874,4,1399,,
0.4091891944408417,4,1449,,
,4,1464,0.27489030361175537,
0.2648841440677643,5,1499,,
0.4220048487186432,5,1549,,
0.36238428950309753,5,1599,,
0.3186608850955963,5,1649,,
0.08591628074645996,5,1699,,
0.37981897592544556,5,1749,,
,5,1757,0.2666372060775757,
0.2729026973247528,6,1799,,
0.2676645517349243,6,1849,,
0.33225566148757935,6,1899,,
0.2329668253660202,6,1949,,
0.6742067337036133,6,1999,,
0.31692853569984436,6,2049,,
,6,2050,0.2611682713031769,
0.24903830885887146,7,2099,,
0.2979717254638672,7,2149,,
0.06791303306818008,7,2199,,
0.16988719999790192,7,2249,,
0.45922231674194336,7,2299,,
,7,2343,0.2580716013908386,
0.3119812607765198,8,2349,,
0.19108347594738007,8,2399,,
0.3387088179588318,8,2449,,
0.38888490200042725,8,2499,,
0.06042502447962761,8,2549,,
0.582922101020813,8,2599,,
,8,2636,0.2591773569583893,
0.5201140642166138,9,2649,,
0.19162774085998535,9,2699,,
0.33198341727256775,9,2749,,
0.5083582401275635,9,2799,,
0.1967141330242157,9,2849,,
0.43734726309776306,9,2899,,
,9,2929,0.26057949662208557,
,9,2930,,0.24608537554740906
